,coeff,|coeff|,signe_coeff
ELEVATORS_MODE,0.11949589463640563,0.11949589463640563,1
ENTRANCES_AVG,0.01430248703537821,0.01430248703537821,1
ENTRANCES_MEDI,-0.010832918182752619,0.010832918182752619,-1
ENTRANCES_MODE,-0.03194289257199944,0.03194289257199944,-1
EXT_SOURCE_1,-0.17666764035495902,0.17666764035495902,-1
EXT_SOURCE_2,-0.3718515137271902,0.3718515137271902,-1
EXT_SOURCE_3,-0.4152587387622089,0.4152587387622089,-1
FLAG_CONT_MOBILE,-0.009950664326542341,0.009950664326542341,-1
FLAG_DOCUMENT_10,-0.023553277865361516,0.023553277865361516,-1
FLAG_DOCUMENT_11,-0.01019807336407055,0.01019807336407055,-1
FLAG_DOCUMENT_12,-0.008783909230271683,0.008783909230271683,-1
FLAG_DOCUMENT_13,-0.04724919804967162,0.04724919804967162,-1
FLAG_DOCUMENT_14,-0.03374646982474943,0.03374646982474943,-1
FLAG_DOCUMENT_15,-0.01919573005640852,0.01919573005640852,-1
FLAG_DOCUMENT_16,-0.04961626258301219,0.04961626258301219,-1
FLAG_DOCUMENT_17,-0.012660315590366256,0.012660315590366256,-1
FLAG_DOCUMENT_18,-0.0469660611459072,0.0469660611459072,-1
FLAG_DOCUMENT_19,-0.0012774613963285443,0.0012774613963285443,-1
FLAG_DOCUMENT_2,0.012411212063416228,0.012411212063416228,1
FLAG_DOCUMENT_20,0.012642852098373377,0.012642852098373377,1
FLAG_DOCUMENT_21,-0.002172542070520163,0.002172542070520163,-1
FLAG_DOCUMENT_3,0.18513872883451804,0.18513872883451804,1
FLAG_DOCUMENT_4,-0.03958309672198129,0.03958309672198129,-1
FLAG_DOCUMENT_5,0.042051047252150996,0.042051047252150996,1
FLAG_DOCUMENT_6,0.09903816765224253,0.09903816765224253,1
FLAG_DOCUMENT_7,0.0039269001620118125,0.0039269001620118125,1
FLAG_DOCUMENT_8,0.0716124571875811,0.0716124571875811,1
FLAG_DOCUMENT_9,0.014325123196490182,0.014325123196490182,1
FLAG_EMAIL,-0.02425627238850761,0.02425627238850761,-1
FLAG_EMP_PHONE,-0.013314429360235686,0.013314429360235686,-1
FLAG_MOBIL,0.008267389682824203,0.008267389682824203,1
FLAG_PHONE,-0.029554669660470906,0.029554669660470906,-1
FLAG_WORK_PHONE,0.055866553262406964,0.055866553262406964,1
FLOORSMAX_AVG,0.01247243479237301,0.01247243479237301,1
FLOORSMAX_MEDI,-0.006681499666767933,0.006681499666767933,-1
FLOORSMAX_MODE,-0.031132369627246193,0.031132369627246193,-1
FLOORSMIN_AVG,0.011800541792220258,0.011800541792220258,1
FLOORSMIN_MEDI,0.006430924840068675,0.006430924840068675,1
FLOORSMIN_MODE,-0.019803955792808997,0.019803955792808997,-1
HOUR_APPR_PROCESS_START,0.008016274882566773,0.008016274882566773,1
INCOME_CREDIT_PERC,-0.05800366204430562,0.05800366204430562,-1
INCOME_PER_PERSON,0.023612973650495223,0.023612973650495223,1
INSTAL_AMT_INSTALMENT_MEAN,-0.022659166146245326,0.022659166146245326,-1
INSTAL_AMT_PAYMENT_MEAN,9.06433727831882e-05,9.06433727831882e-05,1
INSTAL_COUNT,0.07348137873024548,0.07348137873024548,1
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,-0.06706163787789472,0.06706163787789472,-1
INSTAL_DAYS_INSTALMENT_MEAN,0.038273353067957164,0.038273353067957164,1
INSTAL_DBD_MEAN,-0.051211012113562444,0.051211012113562444,-1
INSTAL_DPD_MEAN,0.047195319628123504,0.047195319628123504,1
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,-0.0026972996213551507,0.0026972996213551507,-1
INSTAL_PAYMENT_DIFF_MEAN,0.12773821308631578,0.12773821308631578,1
INSTAL_PAYMENT_PERC_MEAN,-0.007218249844152727,0.007218249844152727,-1
INSTAL_SK_ID_PREV_NUNIQUE,0.12410987999962662,0.12410987999962662,1
LANDAREA_AVG,0.051193919847244126,0.051193919847244126,1
LANDAREA_MEDI,-0.01189787259059966,0.01189787259059966,-1
LANDAREA_MODE,-0.0351041051730558,0.0351041051730558,-1
LIVE_CITY_NOT_WORK_CITY,0.029380142478305723,0.029380142478305723,1
LIVE_REGION_NOT_WORK_REGION,-0.025187197544302056,0.025187197544302056,-1
LIVINGAPARTMENTS_AVG,-0.00025149828052076293,0.00025149828052076293,-1
LIVINGAPARTMENTS_MEDI,0.10411309353131631,0.10411309353131631,1
LIVINGAPARTMENTS_MODE,-0.08435363471735431,0.08435363471735431,-1
LIVINGAREA_AVG,0.06007938077342554,0.06007938077342554,1
LIVINGAREA_MEDI,-0.07289071976071382,0.07289071976071382,-1
LIVINGAREA_MODE,0.002258544550800089,0.002258544550800089,1
NONLIVINGAPARTMENTS_AVG,-0.10626414439639865,0.10626414439639865,-1
NONLIVINGAPARTMENTS_MEDI,0.031658459976912544,0.031658459976912544,1
NONLIVINGAPARTMENTS_MODE,0.08896237109750921,0.08896237109750921,1
NONLIVINGAREA_AVG,0.07519887628515581,0.07519887628515581,1
NONLIVINGAREA_MEDI,-0.020666428665337553,0.020666428665337553,-1
NONLIVINGAREA_MODE,-0.06757414562564988,0.06757414562564988,-1
OBS_30_CNT_SOCIAL_CIRCLE,0.05587818004831937,0.05587818004831937,1
OBS_60_CNT_SOCIAL_CIRCLE,-0.05930301156300007,0.05930301156300007,-1
OWN_CAR_AGE,0.03852193943567625,0.03852193943567625,1
PAYMENT_RATE,-0.12789611117927924,0.12789611117927924,-1
POS_CNT_INSTALMENT_FUTURE_MEAN,0.3785164976392914,0.3785164976392914,1
POS_CNT_INSTALMENT_MEAN,-0.28544821831636985,0.28544821831636985,-1
POS_COUNT,-0.018450230407832786,0.018450230407832786,-1
POS_MONTHS_BALANCE_COUNT,-0.018450230407832786,0.018450230407832786,-1
POS_NAME_CONTRACT_STATUS_LIST_PROPORTION,-0.04943783276861426,0.04943783276861426,-1
POS_SK_DPD_DEF_MEAN,-0.006780918239228431,0.006780918239228431,-1
POS_SK_DPD_MEAN,0.057856090690388745,0.057856090690388745,1
POS_SK_ID_PREV_NUNIQUE,-0.2036137148769954,0.2036137148769954,-1
PREV_AMT_ANNUITY_MEAN,-0.16094068382548585,0.16094068382548585,-1
PREV_AMT_APPLICATION_MEAN,-0.13451864336562788,0.13451864336562788,-1
PREV_AMT_CREDIT_MEAN,0.18631876944701978,0.18631876944701978,1
PREV_AMT_DOWN_PAYMENT_MEAN,0.02131091357827381,0.02131091357827381,1
PREV_AMT_GOODS_PRICE_MEAN,0.031879543161791236,0.031879543161791236,1
PREV_APP_CREDIT_PERC_MEAN,-0.014607514349495395,0.014607514349495395,-1
PREV_CHANNEL_TYPE_LIST_PROPORTION,-0.003858255603268016,0.003858255603268016,-1
PREV_CNT_PAYMENT_MEAN,0.07208308913038983,0.07208308913038983,1
PREV_CODE_REJECT_REASON_LIST_PROPORTION,-0.09642904097073494,0.09642904097073494,-1
PREV_DAYS_DECISION_MEAN,0.01557898608830722,0.01557898608830722,1
PREV_DAYS_FIRST_DRAWING_MEAN,0.041831030485588505,0.041831030485588505,1
PREV_DAYS_FIRST_DUE_MEAN,-0.05442508373142758,0.05442508373142758,-1
PREV_DAYS_LAST_DUE_1ST_VERSION_MEAN,0.06748011855132163,0.06748011855132163,1
PREV_DAYS_LAST_DUE_MEAN,-0.03984484873805173,0.03984484873805173,-1
PREV_DAYS_TERMINATION_MEAN,-0.02625926022548839,0.02625926022548839,-1
PREV_FLAG_LAST_APPL_PER_CONTRACT_LIST_PROPORTION,-0.0038559257378850023,0.0038559257378850023,-1
PREV_HOUR_APPR_PROCESS_START_MEAN,-0.016454175659456054,0.016454175659456054,-1
PREV_NAME_CASH_LOAN_PURPOSE_LIST_PROPORTION,-0.03760721884102014,0.03760721884102014,-1
PREV_NAME_CLIENT_TYPE_LIST_PROPORTION,0.022534657870300626,0.022534657870300626,1
PREV_NAME_CONTRACT_STATUS_LIST_PROPORTION,0.02786163435231179,0.02786163435231179,1
PREV_NAME_CONTRACT_TYPE_LIST_PROPORTION,-0.033422419709274016,0.033422419709274016,-1
PREV_NAME_GOODS_CATEGORY_LIST_PROPORTION,0.01589293903365602,0.01589293903365602,1
PREV_NAME_PAYMENT_TYPE_LIST_PROPORTION,-0.010141907637576095,0.010141907637576095,-1
PREV_NAME_PORTFOLIO_LIST_PROPORTION,-0.006594448311670182,0.006594448311670182,-1
PREV_NAME_PRODUCT_TYPE_LIST_PROPORTION,-0.04689942296601273,0.04689942296601273,-1
PREV_NAME_SELLER_INDUSTRY_LIST_PROPORTION,0.02476429787040152,0.02476429787040152,1
PREV_NAME_TYPE_SUITE_LIST_PROPORTION,0.03474377292818585,0.03474377292818585,1
PREV_NAME_YIELD_GROUP_LIST_PROPORTION,0.026264085066181036,0.026264085066181036,1
PREV_NFLAG_INSURED_ON_APPROVAL_LIST_CLASSE,-0.00623228841188992,0.00623228841188992,-1
PREV_NFLAG_INSURED_ON_APPROVAL_LIST_PROPORTION,0.0031467784561694722,0.0031467784561694722,1
PREV_NFLAG_LAST_APPL_IN_DAY_LIST_CLASSE,-0.006330676341469086,0.006330676341469086,-1
PREV_NFLAG_LAST_APPL_IN_DAY_LIST_PROPORTION,0.007879830596495165,0.007879830596495165,1
PREV_PRODUCT_COMBINATION_LIST_PROPORTION,0.025746941076398324,0.025746941076398324,1
PREV_RATE_DOWN_PAYMENT_MEAN,-0.07032727764188909,0.07032727764188909,-1
PREV_SELLERPLACE_AREA_MEAN,-0.10583861689662104,0.10583861689662104,-1
PREV_SK_ID_PREV_COUNT,0.05650677414624085,0.05650677414624085,1
PREV_WEEKDAY_APPR_PROCESS_START_LIST_PROPORTION,0.008095319263807941,0.008095319263807941,1
REGION_POPULATION_RELATIVE,0.02874079827872765,0.02874079827872765,1
REGION_RATING_CLIENT,-0.01881592774765856,0.01881592774765856,-1
REGION_RATING_CLIENT_W_CITY,0.0990888200188578,0.0990888200188578,1
REG_CITY_NOT_LIVE_CITY,0.05824527206932255,0.05824527206932255,1
REG_CITY_NOT_WORK_CITY,-0.038257816832468934,0.038257816832468934,-1
REG_REGION_NOT_LIVE_REGION,-0.027229146083031217,0.027229146083031217,-1
REG_REGION_NOT_WORK_REGION,0.0230876579192143,0.0230876579192143,1
TOTALAREA_MODE,0.015040369562169377,0.015040369562169377,1
YEARS_BEGINEXPLUATATION_AVG,0.03656687404764719,0.03656687404764719,1
YEARS_BEGINEXPLUATATION_MEDI,-0.02610688448323842,0.02610688448323842,-1
YEARS_BEGINEXPLUATATION_MODE,-0.026019359058788126,0.026019359058788126,-1
YEARS_BUILD_AVG,0.10659526402732072,0.10659526402732072,1
YEARS_BUILD_MEDI,-0.07416917877450971,0.07416917877450971,-1
YEARS_BUILD_MODE,-0.04684662475409834,0.04684662475409834,-1
NAME_CONTRACT_TYPE_Cash loans,-0.047291017588038636,0.047291017588038636,-1
NAME_CONTRACT_TYPE_Revolving loans,0.04520212186118472,0.04520212186118472,1
CODE_GENDER_M,0.1783907927278009,0.1783907927278009,1
CODE_GENDER_F,-0.1804796884546696,0.1804796884546696,-1
FLAG_OWN_CAR_N,0.12612258170834062,0.12612258170834062,1
FLAG_OWN_CAR_Y,-0.12821147743519865,0.12821147743519865,-1
FLAG_OWN_REALTY_Y,0.00886828276803944,0.00886828276803944,1
FLAG_OWN_REALTY_N,-0.010957178494895236,0.010957178494895236,-1
NAME_TYPE_SUITE_Unaccompanied,0.015064638875641544,0.015064638875641544,1
NAME_TYPE_SUITE_Family,0.0018231005831794785,0.0018231005831794785,1
"NAME_TYPE_SUITE_Spouse, partner",-0.08213801168442257,0.08213801168442257,-1
NAME_TYPE_SUITE_Children,0.09376916062634447,0.09376916062634447,1
NAME_TYPE_SUITE_Other_A,0.008437508790603012,0.008437508790603012,1
NAME_TYPE_SUITE_manquant,0.0,0.0,0
NAME_TYPE_SUITE_Other_B,0.07759879560836613,0.07759879560836613,1
NAME_TYPE_SUITE_Group of people,0.00016729013734029886,0.00016729013734029886,1
NAME_INCOME_TYPE_Working,0.06692739674070497,0.06692739674070497,1
NAME_INCOME_TYPE_State servant,-0.04003739145441592,0.04003739145441592,-1
NAME_INCOME_TYPE_Commercial associate,-0.008565488445567456,0.008565488445567456,-1
NAME_INCOME_TYPE_Pensioner,-0.08727656539368679,0.08727656539368679,-1
NAME_INCOME_TYPE_Unemployed,0.059630085448233894,0.059630085448233894,1
NAME_INCOME_TYPE_Student,-0.020072303700877096,0.020072303700877096,-1
NAME_INCOME_TYPE_Businessman,-0.010606424145910875,0.010606424145910875,-1
NAME_INCOME_TYPE_Maternity leave,0.037911795224664466,0.037911795224664466,1
NAME_EDUCATION_TYPE_Secondary / secondary special,0.11569225937997961,0.11569225937997961,1
NAME_EDUCATION_TYPE_Higher education,-0.12031679145769408,0.12031679145769408,-1
NAME_EDUCATION_TYPE_Incomplete higher,-0.05464621871092733,0.05464621871092733,-1
NAME_EDUCATION_TYPE_Lower secondary,0.16050061216626124,0.16050061216626124,1
NAME_EDUCATION_TYPE_Academic degree,-0.10331875710447753,0.10331875710447753,-1
NAME_FAMILY_STATUS_Single / not married,0.018426350528001553,0.018426350528001553,1
NAME_FAMILY_STATUS_Married,-0.1050766213235814,0.1050766213235814,-1
NAME_FAMILY_STATUS_Civil marriage,0.0654855471016527,0.0654855471016527,1
NAME_FAMILY_STATUS_Widow,-0.026897193161364834,0.026897193161364834,-1
NAME_FAMILY_STATUS_Separated,0.04879877448330519,0.04879877448330519,1
NAME_FAMILY_STATUS_Unknown,-0.0028257533548625697,0.0028257533548625697,-1
NAME_HOUSING_TYPE_House / apartment,-0.005254611720210406,0.005254611720210406,-1
NAME_HOUSING_TYPE_Rented apartment,0.07899606629515375,0.07899606629515375,1
